Taxon id;Global sorteringsordning;Vetenskapligt namn;Auktor;Svenskt namn;Taxonstatus;Taxonkategori;Svensk förekomst;Svensk invandringshistoria;Rike;Fylum;Klass;Ordning;Familj;Släkte;Småart;Art;Andra identifierare;Andra vetenskapliga namn;Andra svenska namn;Andra namn;Webbadress
1001652;56340;Lynx;Kerr, 1792;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Felidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305365, Id för taxonid.org: 803f78;;;;https://dyntaxa.se/taxon/1001652
100057;56341;Lynx lynx;(Linnaeus, 1758);lo;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;;;GUID: urn:lsid:faunaeur.org:taxname:305366, Id för taxonid.org: b71f91;felis lynx;lodjur;;https://dyntaxa.se/taxon/100057
1009403;56342;Felis;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Felidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305358, Id för taxonid.org: 5b5158;;;;https://dyntaxa.se/taxon/1009403
233620;56343;Felis catus;Linnaeus, 1758;tamkatt;Accepterat;Art;Bofast och reproducerande;Aktivt införd och bofast före år 1800;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;;;Id för taxonid.org: 99e732;;;;https://dyntaxa.se/taxon/233620
6007814;56344;Herpestidae;Bonaparte, 1845;manguster;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Carnivora;;;;;GUID: urn:lsid:faunaeur.org:taxname:12643, Id för taxonid.org: fc5a51;;;;https://dyntaxa.se/taxon/6007814
6007815;56345;Herpestes;Illiger, 1811;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Herpestidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305370, Id för taxonid.org: e9e775;;;;https://dyntaxa.se/taxon/6007815
6037429;56346;Urva;Hodgson, 1841;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Herpestidae;;;;;;;;https://dyntaxa.se/taxon/6037429
6007816;56347;Urva javanica;(E.Geoffroy St. Hilaire, 1818);guldfläckig mangust;Accepterat;Art;Ej påträffad;;Animalia;Chordata;Mammalia;Carnivora;Herpestidae;Urva;;;Id för taxonid.org: 50b069;mungos javanicus, herpestes javanicus;javanesisk mungo;Engelskt: javan mongoose,small asian mongoose;https://dyntaxa.se/taxon/6007816
2002153;56348;Caniformia;Kretzoi, 1938;hundartade rovdjur;Accepterat;Underordning;;;Animalia;Chordata;Mammalia;Carnivora;;;;;Id för taxonid.org: 91e40f;canoidea;;;https://dyntaxa.se/taxon/2002153
2002154;56349;Canidae;Fischer von Waldheim, 1817;hunddjur;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Carnivora;;;;;GUID: urn:lsid:faunaeur.org:taxname:12634, Id för taxonid.org: a63101;canidae;;;https://dyntaxa.se/taxon/2002154
1001643;56350;Canis;Linnaeus, 1758;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Canidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305284, Id för taxonid.org: 259ba6;;;;https://dyntaxa.se/taxon/1001643
6011549;56351;Canis aureus;(Linnaeus, 1758);guldschakal;Accepterat;Art;Osäkert om påträffad;;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;;;GUID: urn:lsid:faunaeur.org:taxname:305288, Id för taxonid.org: b1010a;aureus aureus;;;https://dyntaxa.se/taxon/6011549
267320;56352;Canis lupus;Linnaeus, 1758;varg;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;;;Id för taxonid.org: da809b;;varg, ulv, varg/hund;;https://dyntaxa.se/taxon/267320
100024;56353;Canis lupus lupus;Linnaeus, 1758;eurasiatisk skogsvarg;Accepterat;Underart;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;;Canis lupus;GUID: urn:lsid:faunaeur.org:taxname:305289, Id för taxonid.org: 505737;canis lupus;varg, varg;;https://dyntaxa.se/taxon/100024
233621;56354;Canis lupus familiaris;Linnaeus, 1758;hund;Accepterat;Underart;Regelbunden, ej reproducerande;Aktivt införd, men ej bofast, före år 1800;Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;;Canis lupus;GUID: urn:lsid:faunaeur.org:taxname:305289, Id för taxonid.org: 6efb4e;canis lupus, canis familiaris;;Engelskt: dog;https://dyntaxa.se/taxon/233621
1001646;56355;Nyctereutes;Temminck, 1839;;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Canidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305290, Id för taxonid.org: 63f123;;;;https://dyntaxa.se/taxon/1001646
206028;56356;Nyctereutes procyonoides;(Gray, 1834);mårdhund;Accepterat;Art;Bofast och reproducerande;Sekundärt inkommen;Animalia;Chordata;Mammalia;Carnivora;Canidae;Nyctereutes;;;GUID: urn:lsid:faunaeur.org:taxname:305291, Id för taxonid.org: a96d69;nyctereutes procynoides, canis procyonoides;;;https://dyntaxa.se/taxon/206028
1001644;56357;Vulpes;Frisch, 1775;rävar;Accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Canidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305292,urn:lsid:faunaeur.org:taxname:305283, Id för taxonid.org: 14bbcf;alopex, vulpes;;;https://dyntaxa.se/taxon/1001644
100005;56358;Vulpes lagopus;(Linnaeus, 1758);fjällräv;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;;;GUID: urn:lsid:faunaeur.org:taxname:305285, Id för taxonid.org: 573800;canis lagopus, alopex lagopus;;Engelskt: arctic fox;https://dyntaxa.se/taxon/100005
206026;56359;Vulpes vulpes;(Linnaeus, 1758);rödräv;Accepterat;Art;Bofast och reproducerande;Spontan;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;;;GUID: urn:lsid:faunaeur.org:taxname:305294, Id för taxonid.org: 55f039;canis vulpes;korsräv, räv;Engelskt: cross fox,silver fox,red fox;https://dyntaxa.se/taxon/206026
1001645;56360;Alopex;Kaup, 1829;;Ej accepterat;Släkte;;;Animalia;Chordata;Mammalia;Carnivora;Canidae;;;;GUID: urn:lsid:faunaeur.org:taxname:305283;;;;https://dyntaxa.se/taxon/1001645
6011582;56361;Mephitidae;Bonaparte, 1845;skunkar;Accepterat;Familj;;;Animalia;Chordata;Mammalia;Carnivora;;;;;Id för taxonid.org: b9a993;;stinkdjur;;https://dyntaxa.se/taxon/6011582
